,,,,Check this out !!!,,
name_x,name_y,quality,,name_x,name_y,quality
Apple,Apple,TRUE,,Borage,Cauliflower,FALSE
Apple,Apricot,TRUE,,Carrots,Celery,FALSE
Apricot,Apricot,TRUE,,Cherry,Chervil,FALSE
Apple,Asparagus,TRUE,,Apricot,Chives,FALSE
Apricot,Asparagus,TRUE,,Carrots,Coriander,FALSE
Asparagus,Asparagus,TRUE,,Celery,Coriander,FALSE
Apple,Basil,TRUE,,Coriander,Dill,FALSE
Apricot,Basil,TRUE,,Cucumber,Dill,FALSE
Asparagus,Basil,TRUE,,Coriander,Fennel,FALSE
Basil,Basil,TRUE,,Coriander,Marigold,FALSE
Apple,Beans,TRUE,,Dill,Marigold,FALSE
Apricot,Beans,TRUE,,Cherry,Garlic,FALSE
Asparagus,Beans,TRUE,,Chervil,Garlic,FALSE
Basil,Beans,TRUE,,Fruit Trees,Grass,FALSE
Beans,Beans,TRUE,,Garlic,Grass,FALSE
Apple,Broad Beans,TRUE,,Cabbages,Lavender,FALSE
Apricot,Broad Beans,TRUE,,Chamomile,Lavender,FALSE
Asparagus,Broad Beans,TRUE,,Cherry,Lemon Balm,FALSE
Basil,Broad Beans,TRUE,,Chervil,Lemon Balm,FALSE
Beans,Broad Beans,TRUE,,Fruit Trees,Lemon Balm,FALSE
Broad Beans,Broad Beans,TRUE,,Garlic,Lemon Balm,FALSE
Apple,Bush Beans,TRUE,,Cauliflower,Lettuce,FALSE
Apricot,Bush Beans,TRUE,,Celery,Lettuce,FALSE
Asparagus,Bush Beans,TRUE,,Chervil,Lettuce,FALSE
Basil,Bush Beans,TRUE,,Chervil,Marjoram,FALSE
Beans,Bush Beans,TRUE,,Eggplant,Marjoram,FALSE
Broad Beans,Bush Beans,TRUE,,Fennel,Marjoram,FALSE
Bush Beans,Bush Beans,TRUE,,Lavender,Marjoram,FALSE
Apple,Climbing Beans,TRUE,,Lemon Balm,Marjoram,FALSE
Apricot,Climbing Beans,TRUE,,Cabbages,Mulberry,FALSE
Asparagus,Climbing Beans,TRUE,,Chervil,Mulberry,FALSE
Basil,Climbing Beans,TRUE,,Chives,Mulberry,FALSE
Beans,Climbing Beans,TRUE,,Lemon Balm,Mulberry,FALSE
Broad Beans,Climbing Beans,TRUE,,Basil,Nasturtiums,FALSE
Bush Beans,Climbing Beans,TRUE,,Broccoli,Nasturtiums,FALSE
Climbing Beans,Climbing Beans,TRUE,,Lemon Balm,Nasturtiums,FALSE
Apple,Beets,TRUE,,Chives,Parsley,FALSE
Apricot,Beets,TRUE,,Coriander,Parsley,FALSE
Asparagus,Beets,TRUE,,Dill,Parsley,FALSE
